Audit Reference Number,VAR-20241007-TW-05A01-1
Question Text,Primary types of Operation: Assembly (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info5.5
Question Text,Primary types of Operation: Other (describe)
Rating,N/A
Conclusion,
Data points,
,
ON-SITE SERVICES,
Question #,VAP-Info6.1
Question Text,On-Site Services: Fire brigade/warden team (description)
Rating,The facility has a total of 303 internally trained fire emergency team members in the facility in September 2024.
Conclusion,
Data points,
,
Question #,VAP-Info6.2
Question Text,On-Site Services: Hospital/infirmary (description)
Rating,"The facility has own infirmary with registered nurses.The nearest hospital is 3.5 km away from facility with around 10 minutes
driving."
Conclusion,
Data points,
,
Question #,VAP-Info6.3
Question Text,On-Site Services: Chemical Spill Response Team (description)
Rating,The facility has a total of 117 internally trained chemical emergency team members in the facility in September 2024.
Conclusion,
Data points,
,
Question #,VAP-Info6.4
Question Text,On-Site Services: Wastewater treatment type (description)
Rating,"5 sets of acid-base integrated tank: 1 set of Fluorinated wastewater treatment system; 1 set of CMP wastewater treatment system;
1 set of NH4+ wastewater treatment system; 1 set of TMAH wastewater treatment system; 1 set of Cu wastewater treatment
system; 1 sets of domestic wastewater treatment system."
Conclusion,
Data points,
,
Question #,VAP-Info6.5
Question Text,On-Site Services: Power Generation (description)
Rating,18 emergency power generators (1600KW/ea *18)
Conclusion,
Data points,
,
Question #,VAP-Info6.6
Question Text,On-Site Services: Dormitory (# people + description)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info6.7
Question Text,On-Site Services: Canteen (description)
Rating,One canteen is available with around 566 seats for all employees.
Conclusion,
Data points,
,
Question #,VAP-Info6.8
Question Text,On-Site Services: Kitchen (description)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info6.9
Question Text,On-Site Services: Recycling (description)
Rating,"All wastes need to be classified for recycling (including paper, Iron and plastic material)."
Conclusion,
Data points,
,
Question #,VAP-Info6.10
Question Text,On-Site Services: Other (description)
Rating,N/A
Conclusion,
Data points,
,
CERTIFICATIONS,
Question #,VAP-Info7.0
Question Text,"Please list all current certifications relating to labor, ethics, environment, and health & safety. Include Name and date valid until.
Separate each with a hard enter."
Rating,"ISO 14001:2015 certificate with certificate No.: 20003544 UM15 and valid period from 13 June 2022 to 11 August 2025 issued
by DQS.
ISO 45001: 2018 certificate with certificate No.: 20003544 OHS18 and valid period from 13 June 2022 to 11 August 2025
issued by DQS."
Conclusion,
Data points,
,
CONSULTING SERVICES USED IN LAST YEAR,
Question #,VAP-Info8.0
Question Text,"For purposes of identifying any conflicts of interest, please state if you have used the audit firm company for consulting purposes
over the last 1 year and / or since the last full RBA-based assessment."
Rating,No
Conclusion,
Data points,
,
LABOR AGENT/CONTRACTOR SERVICES USED IN LAST 2 YEARS,
Question #,VAP-Info9.0
Question Text,Please list the names of any recruiting / labor agents or brokers in the past 2 years or since the last full assessment.
Rating,N/A
Conclusion,
Data points,
,
OTHER CONSULTING SERVICES USED IN LAST 3 YEARS,
Question #,VAP-Info10.0
Question Text,Used Other consulting services in the last 3 years
Rating,No
Conclusion,
Data points,
,
Question #,VAP-Info10.1
Question Text,Other consulting services used in last 3 years: Consulting description of work
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info10.2
Question Text,Other consulting services used in last 3 years: Consulting firm (name and address)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info10.3
Question Text,Other consulting services used in last 3 years: Consulting started on (date - dd/mm/yyyy)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info10.4
Question Text,Other consulting services used in last 3 years: Consulting ended on (date - dd/mm/yyyy)
Rating,N/A
Conclusion,
Data points,
,
ASSESSMENT TEAM: LEAD ASSESSOR,
Question #,VAP-Info11.1
Question Text,Lead Assessor Name
Rating,Robert CHANG-49
Conclusion,
Data points,
,
Question #,VAP-Info11.2
Question Text,Lead Assessor Email
Rating,robertls.chang@tuv.com
Conclusion,
Data points,
,
Question #,VAP-Info11.3
Question Text,Lead Assessor Phone
Rating,886-2-21727000
Conclusion,
Data points,
,
Question #,VAP-Info11.4
Question Text,Lead Assessor APSCA Registration Number ( RA 217xxxxx or ASCA 217xxxxxx )
Rating,CSCA 21700555
Conclusion,
Data points,
,
Question #,VAP-Info11.5
Question Text,Assessor APSCA Registration Number ( RA 217xxxxx or ASCA 217xxxxxx)
Rating,ASCA 21703660
Conclusion,
Data points,
,
Question #,VAP-Info11.6
Question Text,Assessment Firm APSCA Registration Number
Rating,11600007
Conclusion,
Data points,
,
LABOR ASSESSOR,
Question #,VAP-Info12.1
Question Text,Labor Assessor Name
Rating,John LI-73
Conclusion,
Data points,
,
Question #,VAP-Info12.2
Question Text,Labor Assessor Email
Rating,john.li@tuv.net
Conclusion,
Data points,
,
Question #,VAP-Info12.3
Question Text,Labor Assessor Phone
Rating,886-2-21727000
Conclusion,
Data points,
,
ETHICS ASSESSOR,
Question #,VAP-Info13.1
Question Text,Ethics Assessor Name
Rating,John LI-73
Conclusion,
Data points,
,
Question #,VAP-Info13.2
Question Text,Ethics Assessor Email
Rating,john.li@tuv.net
Conclusion,
Data points,
,
Question #,VAP-Info13.3
Question Text,Ethics Assessor Phone
Rating,886-2-21727000
Conclusion,
Data points,
,
HEALTH AND SAFETY ASSESSOR,
Question #,VAP-Info14.1
Question Text,Health and Safety Assessor Name
Rating,Robert CHANG-49
Conclusion,
Data points,
,
Question #,VAP-Info14.2
Question Text,Health and Safety Assessor Email
Rating,robertls.chang@tuv.com
Conclusion,
Data points,
,
Question #,VAP-Info14.3
Question Text,Health and Safety Assessor Phone
Rating,886-2-21727000
Conclusion,
Data points,
,
ENVIRONMENT ASSESSOR,
Question #,VAP-Info15.1
Question Text,Environment Assessor Name
Rating,Robert CHANG-49
Conclusion,
Data points,
,
Question #,VAP-Info15.2
Question Text,Environment Assessor Email
Rating,robertls.chang@tuv.com
Conclusion,
Data points,
,
Question #,VAP-Info15.3
Question Text,Environment Assessor Phone
Rating,886-2-21727000
Conclusion,
Data points,
,
MANAGEMENT SYSTEMS ASSESSOR,
Question #,VAP-Info16.1
Question Text,Management Systems Assessor Name
Rating,Robert CHANG-49 / John LI-73
Conclusion,
Data points,
,
Question #,VAP-Info16.2
Question Text,Management Systems Assessor Email
Rating,robertls.chang@tuv.com / john.li@tuv.net
Conclusion,
Data points,
,
Question #,VAP-Info16.3
Question Text,Management Systems Assessor Phone
Rating,886-2-21727000
Conclusion,
Data points,
,
STAFF INTERVIEWS,
Question #,VAP-Info17.1
Question Text,Total number of interviews
Rating,20
Conclusion,
Data points,
,
Question #,VAP-Info17.2
Question Text,Total number of interviews (male)
Rating,1
Conclusion,
Data points,
,
Question #,VAP-Info17.3
Question Text,Total number of interviews (female)
Rating,19
Conclusion,
Data points,
,
Question #,VAP-Info17.4
Question Text,Total number of interviews (direct workers)
Rating,20
Conclusion,
Data points,
,
Question #,VAP-Info17.5
Question Text,Total number of interviews (indirect workers)
Rating,0
Conclusion,
Data points,
,
Question #,VAP-Info17.6
Question Text,Total number of interviews (shift workers)
Rating,0
Conclusion,
Data points,
,
Question #,VAP-Info17.7
Question Text,Total number of interviews (foreign migrant workers)
Rating,0
Conclusion,
Data points,
,
Question #,VAP-Info17.8
Question Text,Total number of group interviews
Rating,10
Conclusion,
Data points,
,
Question #,VAP-Info17.9
Question Text,Total number of individual interviews
